"name1","name2","street1","street2","city","state","zip","zip4","county","phone","intake_prompt","intake1","intake2","website","latitude","longitude","type_facility","mh","psy","rtcc","rtca","ores","ph","omh","cmhc","msmh","ipt","cft","gt","cbt","dbt","bmt","idd","tt","at","ect","tele","smon","smpd","smop","hi","res","phdt","op","vamc","sma","osg","lmg","tbg","ih","sf","md","mc","si","pi","mi","smha","swfs","scjj","sef","osf","clf","csbg","cmhg","vaf","cit","wi","ss","pa","ah","sp","co","gl","vet","adm","mf","cj","se","hv","trma","sed","smi","alz","ptsd","tbi","tay","ped","act","icm","cm","cdm","peer","coot","dec","es","fpsy","hs","imr","ipc","lad","nrt","nsc","prs","stu","sps","semp","sh","tpc","tcc","vrs","chld","yad","adlt","snr","itu","pvtp","pvtn","fqhc","vo","sumh","ccbhc","chlor","drope","fluph","halop","loxap","perph","pimoz","proch","thiot","thior","trifl","aripi","asena","brexp","carip","cloza","ilope","luras","olanz","olanzf","palip","queti","rispe","zipra","crt","emdr","kit","tms","peon","peoff","fg","pcf","dv","pefp","hivt","shb","shc","stdt","tbs","aot","ptm","msnh","f17","f19","f25","f28","f30","f31","f35","f36","f37","f4","f42","f43","f47","f66","f67","f70","f81","f92","n13","n18","n23","n24","n40"
"Horizon Behavioral Health","Appomattox Counseling Center","226 Union Boulevard","","Appomattox","VA","24522","","Appomattox","434-477-5000","","","","http://www.horizonbh.org/","37.3638993","-78.8347675","MH","1","","","","","","","1","","1","1","1","1","","1","","1","","","","1","","","","","","1","","","","1","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","","","","1","","1","","","","","","","","1","1","1","","","","","","","1","1","","","1","1","1","","","","","","","1","","1","","","","","1","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Virginia Family Services","","1012 West 3rd Street","Suite J","Farmville","VA","23901","","Prince Edward","434-395-1200","","","","http://www.virginiafamilyservices.com","37.3044517","-78.4077729","MH","1","","","","","","","1","","1","1","","1","","","","","","","1","","1","","","","","1","","","","","","","1","1","","1","","","1","","1","","1","","","","","","","","","","","1","1","","","1","1","1","1","1","1","1","","1","","1","1","","","1","","","","","","1","","","","","","","","","","","","","","","1","1","1","1","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Crossroads Community Services Board","Farmville Center","214 Bush River Drive","","Farmville","VA","23901","","Prince Edward","434-392-3187","","866-307-0370","","http://www.crossroadscsb.org","37.2806029","-78.3535051","MH","1","","","","","","","1","","1","1","1","1","1","1","1","1","","","1","","1","","","","","1","","","","1","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","1","1","1","","1","","","1","1","","1","1","1","","1","1","1","","","1","1","","1","1","","","1","1","","1","","","1","1","1","1","1","","","1","1","1","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","",""
"Horizon Wellness Center at","Amherst","120 West Commerce Street","","Amherst","VA","24521","","Amherst","434-946-2316","","434-477-5000","","http://www.horizonbh.org/","37.5772849","-79.0376859","MH","1","","","","","","","1","","1","1","1","1","1","1","1","1","1","","1","1","","","","","1","1","","","1","","","","1","1","1","1","1","1","1","1","1","","1","1","","","","1","","","","1","","","","","","","","","1","1","1","1","","1","","1","","","","1","","","","","","","","","","","","1","","","","","","","","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Region Ten Community Services Board","Nelson County Office","71 Tanbark Plaza","","Lovingston","VA","22949","","Nelson","434-263-4889","","","","http://regionten.org","37.7610691","-78.8725268","MH","1","","","","","","","1","","1","","1","1","1","","1","1","","","1","1","","","","","1","1","","","","1","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","1","","","","","","","","","","1","1","","","","","","","1","1","","","1","","","","","","","","","","","1","","","1","","","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Horizon Behavioral Health","Courtland Wellness","620 Court Street","","Lynchburg","VA","24504","","Lynchburg City","434-847-8050","","434-477-5000","","http://www.horizonbh.org","37.4157132","-79.1454416","MH","1","","","","","","","","","1","1","1","1","1","1","1","1","","","","1","","","","1","","1","","","","1","","","1","1","1","1","1","1","1","1","1","","1","","1","","1","1","1","","","1","","1","1","1","1","1","1","","","1","","1","","1","","1","","1","1","1","","1","1","1","1","1","","1","1","","","1","","1","1","","","","1","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"Horizon Behavioral Health","Campbell County Counseling Center","37 Village Highway","","Rustburg","VA","24588","","Campbell","434-477-5000","","","","http://www.horizonbh.org","37.268883","-79.110657","MH","1","","","","","","","1","","1","1","1","1","1","","1","","","","1","1","","","","","","1","","","","1","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","","","","1","","1","","","","","","","","1","1","1","","1","","","","","1","1","","","1","1","","1","","","","","","1","","1","1","","","","1","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Horizon Behavioral Health","Langhorne Wellness Center","2215 Langhorne Road","","Lynchburg","VA","24501","","Lynchburg City","434-948-4831","","","","http://www.horizonbh.org","37.4125946","-79.1749534","MH","1","","","","","","1","","","1","1","1","1","1","1","1","1","1","","1","1","","","","","","1","","1","","","","","1","1","1","1","1","1","1","1","1","","1","1","1","1","","1","1","","","1","1","1","1","","","","1","","","1","1","1","","1","","1","","","1","1","1","","1","1","1","1","1","","","","","1","","1","1","","","","1","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Centra Health Inc","VA Baptist Hospital","3300 Rivermont Avenue","","Lynchburg","VA","24503","","Lynchburg City","434-200-6042","Intakes","434-200-5999","434-200-4444","http://www.centrahealth.com","37.438205","-79.187155","MH","1","1","","","","","","","","1","1","1","1","1","1","1","1","1","1","","1","","","1","1","1","1","","","","","","","1","1","1","","1","1","1","1","","","","","1","1","1","","","","","1","","1","1","1","","","1","1","","1","1","1","1","1","","1","","","1","1","","1","1","1","1","1","","1","1","","1","1","","1","1","","","","1","","1","1","1","1","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Anderson Counseling Services","","434 Graves Mill Road","","Lynchburg","VA","24502","","Lynchburg City","434-239-2004","","434-239-2004 x209","","http://AndersonCounselingServices.com","37.3739958","-79.2109695","MH","1","","","","","","1","","","1","1","1","1","","1","","1","1","","","1","","","","","1","1","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","1","1","","","","1","","","","","","","","","1","1","","","","","","","1","","1","","","","","","1","1","1","1","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Centra Health Inc","Bridges Treatment Center","693 Leesville Road","","Lynchburg","VA","24502","","Lynchburg City","434-200-5700 x5025","Intakes","434-200-5700","434-200-4444","http://www.centrahealth.com/facilities/bridges-treatment-center","37.3433531","-79.2056258","MH","1","","1","","","","","","","1","1","1","1","1","1","","1","1","","1","1","","","","1","","","","","","","","","1","1","","1","1","","1","1","1","1","1","1","1","1","","","","","","1","","","1","","","","","","","1","1","","","1","","","","","","1","","","","1","1","1","","","","","","","","","","","","","","","1","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
