FIPS,smi_per1000,TDOs_per_1000
001G,7200,184
003G,7800,176
005G,9400,629
007G,9100,84
009G,9700,264
011G,9700,70
013G,6800,208
015G,8900,232
017G,8900,371
019G,9700,149
021G,10100,189
023G,9400,54
025G,9100,295
027G,10400,155
029G,9100,146
031G,9700,121
033G,7300,132
035G,10100,398
036G,7500,14
037G,9100,360
041G,6900,93
043G,8000,97
045G,9400,59
047G,7400,123
049G,9100,142
051G,10400,280
053G,9100,223
057G,7200,195
059G,5700,119
061G,7400,133
063G,9900,161
065G,7800,137
067G,9400,213
069G,8000,101
071G,9900,352
073G,7200,372
075G,7500,77
077G,10100,453
079G,7800,179
081G,9100,316
083G,9100,390
085G,7500,205
087G,7500,300
089G,9400,316
091G,8900,45
093G,7100,90
097G,7200,203
099G,7300,146
101G,7200,70
103G,7200,314
105G,10400,286
107G,5700,108
109G,7800,180
111G,9100,245
113G,7400,91
115G,7200,69
117G,9100,226
119G,7200,243
121G,9900,406
125G,7800,128
127G,7500,39
131G,7200,119
133G,7200,67
135G,9100,247
137G,7400,128
139G,8000,197
141G,9400,203
143G,9100,362
145G,7500,33
147G,9100,314
149G,9100,179
153G,6100,216
155G,9900,651
157G,7400,96
159G,7200,185
161G,9400,150
163G,8900,180
165G,9400,249
167G,10400,328
169G,10400,160
171G,8000,144
173G,10100,1117
175G,7100,134
177G,7300,202
179G,7300,152
181G,9100,137
183G,9100,210
185G,10400,181
187G,8000,123
191G,10100,610
193G,7200,296
195G,10400,517
197G,10100,783
199G,7700,183
510G,5900,215
520G,10100,247
530G,8900,403
540G,7800,628
550G,7700,237
570G,9100,256
590G,9100,1127
595G,9100,537
620G,7100,230
630G,7300,754
640G,10100,1650
650G,8100,635
660G,9400,249
670G,9100,656
680G,9700,883
690G,9400,836
703G,8100,381
710G,NA,NA
730G,9100,1047
740G,9000,433
750G,9900,560
761G,9200,751
762G,9200,751
763G,9200,751
770C,9400,860
770G,9400,860
775G,9400,1206
790G,8900,629
800G,7100,431
810G,7000,224
820G,8900,433
830G,7700,354
840G,8000,408
