name1,fips,county,latitude,longitude,type_facility,SHORT_FIPS,count,Court,CSB,DBHDS
Horizon Behavioral Health,51011,Appomattox,37.3638993,-78.8347675,MH,11,1,Appomattox,Horizon Behavioral Health,1
Virginia Family Services,51147,Prince Edward,37.3044517,-78.4077729,MH,147,2,Prince Edward,Crossroads,4
Crossroads Community Services Board,51147,Prince Edward,37.2806029,-78.3535051,MH,147,2,Prince Edward,Crossroads,4
Horizon Wellness Center at,51009,Amherst,37.5772849,-79.0376859,MH,9,1,Amherst,Horizon Behavioral Health,1
Region Ten Community Services Board,51125,Nelson,37.7610691,-78.8725268,MH,125,2,Nelson,Region Ten,1
Region Ten Community Services Board,51125,Nelson,37.7610691,-78.8725268,SA,125,2,Nelson,Region Ten,1
Horizon Behavioral Health,51680,Lynchburg City,37.4157132,-79.1454416,MH,680,6,Lynchburg,Horizon Behavioral Health,1
Horizon Behavioral Health,51031,Campbell,37.268883,-79.110657,MH,31,2,Campbell,Horizon Behavioral Health,1
Horizon Behavioral Health,51680,Lynchburg City,37.4125946,-79.1749534,MH,680,6,Lynchburg,Horizon Behavioral Health,1
Centra Health Inc,51680,Lynchburg City,37.438205,-79.187155,MH,680,6,Lynchburg,Horizon Behavioral Health,1
Pathways Intensive Outpatient Program,51680,Lynchburg City,37.438205,-79.187155,SA,680,6,Lynchburg,Horizon Behavioral Health,1
Anderson Counseling Services,51680,Lynchburg City,37.3739958,-79.2109695,MH,680,6,Lynchburg,Horizon Behavioral Health,1
Centra Health Inc,51680,Lynchburg City,37.3433531,-79.205625800000007,MH,680,6,Lynchburg,Horizon Behavioral Health,1
Harvest Outreach Center Inc,51031,Campbell,37.103664,-79.042612,MH,31,2,Campbell,Horizon Behavioral Health,1
Madeline Centre,51019,Lynchburg City,37.384861,-79.241471,MH,19,2,Bedford,Horizon Behavioral Health,1
Family Preservation Services,51019,Lynchburg City,37.3816194,-79.24604,MH,19,2,Bedford,Horizon Behavioral Health,1
Region Ten Community Services Board,51065,Fluvanna,37.8620499,-78.2637883,MH,65,1,Fluvanna,Region Ten,1
Region Ten Community Services Board,51003,Charlottesville City,38.007559,-78.520124,MH,3,2,Albemarle,Region Ten,1
Goochland Powhatan Comm Servs Board,51145,Powhatan,37.5446087,-77.9191114,MH,145,1,Powhatan,Goochland-Powhatan,4
Empowering Families Program,51540,Charlottesville City,38.0374836,-78.488558,MH,540,1,Charlottesville,Region Ten,1
UVA Child/Adolescent Psychiatry Clinic,51003,Charlottesville City,38.0464953,-78.517854,MH,3,2,Albemarle,Region Ten,1
Goochland Powhatan Comm Servs Board,51075,Goochland,37.6917162,-77.8838438,MH,75,2,Goochland,Goochland-Powhatan,4
Horizon Behavioral Health,51515,Bedford City,37.336584,-79.4958445,MH,515,1,NA,NA,NA
Rockbridge Area Community Servs Board,51163,Lexington City,37.8034988,-79.4254311,MH,163,1,Rockbridge,Rockbridge Area,1
Rockbridge Area Community Servs Board,51163,Lexington City,37.8034988,-79.4254311,MH,163,1,Rockbridge/Lexington,Rockbridge Area,1
Danville Pittsylvania Community Servs,51143,Pittsylvania,36.9532019,-79.3615379,MH,143,2,Pittsylvania,Danville-Pittsylvania,3
Southside Community Services Board,51083,Halifax,36.7147495,-78.9143853,MH,83,2,Halifax,Southside,3
Valley Community Services Board,51015,Staunton City,38.128134,-79.030774,MH,15,1,Augusta,Valley,1
Sentara Halifax Behavioral Health,51083,Halifax,36.6988835,-78.9016607,MH,83,2,Halifax,Southside,3
Region Ten Community Services Board,51109,Louisa,38.0228004,-78.0030824,MH,109,2,Louisa,Region Ten,1
Liberty Point Behavioral Healthcare,51790,Staunton City,38.141004,-79.0944899,MH,790,1,Staunton,Valley,1
Hallmark Youthcare,51075,Henrico,37.6108894,-77.6674969,MH,75,2,Goochland,Goochland-Powhatan,4
Fair Winds,51109,Louisa,38.0059562,-77.9077568,MH,109,2,Louisa,Region Ten,1
Family Preservation Services,51041,Chesterfield,37.5014294,-77.5808526,MH,41,2,Chesterfield,Chesterfield,4
Region Ten Community Services Board,51079,Greene,38.2864185,-78.4183309,MH,79,1,Greene,Region Ten,1
Family Insight,51087,Richmond City,37.5928428,-77.5322686,MH,87,9,Henrico,Henrico,4
Chesterfield Community Services Board,51041,Chesterfield,37.3823369,-77.505999,MH,41,2,Chesterfield,Chesterfield,4
Dinwiddie Counseling Services,51053,Dinwiddie,37.0807326,-77.5850965,MH,53,1,Dinwiddie,District 19,4
Dominion Outpatient Services,51087,Richmond City,37.5902472,-77.5081465,MH,87,9,Henrico,Henrico,4
Dominion Outpatient Services,51087,Richmond City,37.5902472,-77.5081465,SA,87,9,Henrico,Henrico,4
First Home Care,51087,Henrico,37.6015755,-77.5077866,MH,87,9,Henrico,Henrico,4
Family Counseling Center for Recovery,51087,Henrico,37.5809595,-77.4950893,SA,87,9,Henrico,Henrico,4
Virginia Family Services,51087,Henrico,37.5848523,-77.4951446,MH,87,9,Henrico,Henrico,4
Brunswick Behavioral Health Center,51025,Brunswick,36.7665465,-77.8305805,MH,25,1,Brunswick,Southside,3
United Methodist Family Services,51760,Henrico,37.5731196,-77.4804217,MH,760,6,Richmond City,Richmond,4
Henrico Area Mental Health and,51087,Henrico,37.6539616,-77.493552,MH,87,9,Henrico,Henrico,4
All Care Family Services,51760,Richmond City,37.5196436,-77.4489737,MH,760,6,Richmond City,Richmond,4
VCU Health System,51760,Richmond City,37.5704918,-77.4525385,MH,760,6,Richmond City,Richmond,4
Saint Josephs Villa,51087,Henrico,37.6318904,-77.4605621,MH,87,9,Henrico,Henrico,4
Richmond Behavioral Health Authority,51760,Richmond City,37.539087,-77.4407049,MH,760,6,Richmond City,Richmond,4
VCU Medical Center,51760,Richmond City,37.5465056,-77.4380034,MH,760,6,Richmond City,Richmond,4
ChildSavers,51760,Richmond City,37.5328094,-77.4223523,MH,760,6,Richmond City,Richmond,4
Hughes Center for Exceptional Children,51143,Danville City,36.644956,-79.404537,MH,143,2,Pittsylvania,Danville-Pittsylvania,3
Hanover Cnty Community Services Board,51085,Hanover,37.7441924,-77.4704383,MH,85,1,Hanover,Hanover,4
Health Connect America,51660,Harrisonburg City,38.4120303,-78.8989196,MH,660,3,Harrisonburg/Rockingham,Harrisonburg-Rockingham,1
Colonial Heights Counseling Services,51570,Colonial Heights City,37.281468,-77.412301,MH,570,1,Colonial Heights,District 19,4
District 19 Community Services Board,51730,Petersburg City,37.2313949,-77.4054209,MH,730,3,Petersburg,District 19,4
District 19 Substance Abuse Services,51730,Petersburg City,37.2313949,-77.4054209,SA,730,3,Petersburg,District 19,4
Henrico Area MH/Developmental Services,51087,Richmond City,37.541741,-77.3805871,MH,87,9,Henrico,Henrico,4
Danville Pittsylvania Community Servs,51590,Danville City,36.5971182,-79.4162761,SA,590,2,Danville,Danville-Pittsylvania,3
Danville Pittsylvania Community Servs,51590,Danville City,36.5971182,-79.4162761,MH,590,2,Danville,Danville-Pittsylvania,3
Avenues to Wellness,51770,Roanoke City,37.2611456,-79.942562,SA,770,6,Roanoke City,Blue Ridge Behavioral Healthcare,3
Mental Wellness Now,51660,Harrisonburg City,38.4623826,-78.852442,SA,660,3,Harrisonburg/Rockingham,Harrisonburg-Rockingham,1
Mental Wellness Now LLC,51660,Harrisonburg City,38.4623826,-78.852442,MH,660,3,Harrisonburg/Rockingham,Harrisonburg-Rockingham,1
Blue Ridge Behavioral Healthcare,51770,Roanoke City,37.2825806,-79.9492923,MH,770,6,Roanoke City,Blue Ridge Behavioral Healthcare,3
Family Service of Roanoke Valley,51770,Roanoke,37.2710848,-79.948343,MH,770,6,Roanoke City,Blue Ridge Behavioral Healthcare,3
Carilion Roanoke Memorial Hospital,51770,Roanoke City,37.2503669,-79.9446846,MH,770,6,Roanoke City,Blue Ridge Behavioral Healthcare,3
Dept of Psych and Behav Medicine,51770,Roanoke City,37.2502922,-79.9446888,SA,770,6,Roanoke City,Blue Ridge Behavioral Healthcare,3
Intercept True North Health Clinic,51161,Roanoke City,37.3238193,-79.9609321,SA,161,6,Roanoke County,Blue Ridge Behavioral Healthcare,3
Intercept True North Health Clinic,51161,Roanoke City,37.3238269,-79.9609746,MH,161,6,Roanoke County,Blue Ridge Behavioral Healthcare,3
Family Preservation Services,51161,Roanoke,37.3347182,-79.9750786,MH,161,6,Roanoke County,Blue Ridge Behavioral Healthcare,3
Jackson Feild Homes,51081,Greensville,36.8400898,-77.5499513,MH,81,2,Greensville,District 19,4
Piedmont Community Services,51067,Franklin,37.0154819,-79.8928121,MH,67,1,Franklin County,Piedmont,3
Family Insight,51161,Roanoke,37.2384864,-79.9996439,MH,161,6,Roanoke County,Blue Ridge Behavioral Healthcare,3
Blue Ridge Behavioral Healthcare,51770,Roanoke City,37.2655777,-80.0056012,MH,770,6,Roanoke City,Blue Ridge Behavioral Healthcare,3
Thriveworks Counseling,51161,Roanoke,37.2288058,-80.0079447,MH,161,6,Roanoke County,Blue Ridge Behavioral Healthcare,3
Braley and Thompson,51161,Roanoke,37.2339854,-80.0151688,MH,161,6,Roanoke County,Blue Ridge Behavioral Healthcare,3
LewisGale Medical Center,51775,Salem,37.2643745,-80.0277786,MH,775,3,Salem,Blue Ridge Behavioral Healthcare,3
LewisGale,51775,Salem,37.2643745,-80.0277786,SA,775,3,Salem,Blue Ridge Behavioral Healthcare,3
Hopewell/Prince George Csl Servs,51149,Prince George,37.246631,-77.273711,MH,149,1,Prince George,District 19,4
Alleghany Highlands Community Services,51580,Covington City,37.788647,-79.9892124,SA,580,2,Covington,Alleghany Highlands,1
Center for Emotional Care,51775,Salem,37.291881,-80.0528375,SA,775,3,Salem,Blue Ridge Behavioral Healthcare,3
Family Preservation Services,51580,Covington City,37.793272,-79.9941628,MH,580,2,Covington,Alleghany Highlands,1
Rappahannock Area Comm Servs Board,51033,Caroline,37.9977082,-77.4172582,MH,33,1,Caroline,Rappahannock Area,1
Health Connect America,51047,Culpeper,38.445113,-77.991897,MH,47,6,Culpeper,Rappahannock-Rapidan,1
Rappahannock Area Comm Servs Board,51177,Spotsylvania,38.2024504,-77.5928801,MH,177,1,Spotsylvania,Rappahannock Area,1
Rappahannock Rapidan CSB,51047,Culpeper,38.455988,-78.014484,MH,47,6,Culpeper,Rappahannock-Rapidan,1
Health Connect America,51047,Culpeper,38.4600602,-78.0149885,MH,47,6,Culpeper,Rappahannock-Rapidan,1
Greensville/Emporia Counseling,51081,Emporia City,36.7365062,-77.5145289,MH,81,2,Greensville,District 19,4
Childhelp USA,51047,Culpeper,38.387535,-77.841556,MH,47,6,Culpeper,Rappahannock-Rapidan,1
Empowering Families Program,51047,Culpeper,38.4720935,-77.9950317,MH,47,6,Culpeper,Rappahannock-Rapidan,1
Family Preservation Services,51690,Henry,36.696677,-79.8551668,MH,690,2,Martinsville,Piedmont,3
Piedmont Community Services,51690,Henry,36.6913204,-79.8673524,MH,690,2,Martinsville,Piedmont,3
Northwestern Community Services,51139,Page,38.6652487,-78.4610298,MH,139,1,Page,Northwestern,1
Mary Washington Hospital Inc,51630,Fredericksburg City,38.3089259,-77.4822797,MH,630,2,Fredericksburg,Rappahannock Area,1
Rappahannock Area Comm Servs Board,51630,Fredericksburg City,38.2972272,-77.462175,MH,630,2,Fredericksburg,Rappahannock Area,1
Henrico Area Mental Health and,51127,New Kent,37.4409097,-77.0349131,MH,127,2,New Kent,Henrico,4
Henrico Charles City,51127,New Kent,37.4409097,-77.0349131,SA,127,2,New Kent,Henrico,4
Sussex Counseling Services,51183,Sussex,37.03048,-77.096832,MH,183,1,Sussex,District 19,4
Life Line Counseling Center,51047,Culpeper,38.6406382,-77.8982509,SA,47,6,Culpeper,Rappahannock-Rapidan,1
Rappahannock Area Comm Servs Board,51179,Stafford,38.4256162,-77.4061383,MH,179,1,Stafford,Rappahannock Area,1
Family Preservation Services,51121,Montgomery,37.1507579,-80.4053089,MH,121,3,Montgomery,New River Valley,3
New River Valley Community Services,51063,Floyd,36.9191246,-80.3250752,MH,63,1,Floyd,New River Valley,3
New River Valley Community Services,51121,Montgomery,37.2330071,-80.4311743,MH,121,3,Montgomery,New River Valley,3
Rappahannock Area Comm Servs Board,51099,King George,38.2725357,-77.1948392,MH,99,1,King George,Rappahannock Area,1
Valley Health SMH Behavioral Health,51171,Shenandoah,38.8703378,-78.5125725,MH,171,2,Shenandoah,Northwestern,1
Rappahannock Rapidan CSB,51061,Fauquier,38.714588,-77.809701,MH,61,2,Fauquier,Rappahannock-Rapidan,1
Behavioral Healthcare/Fauquier,51061,Fauquier,38.7147934,-77.8094986,SA,61,2,Fauquier,Rappahannock-Rapidan,1
Northwestern Community Services,51171,Shenandoah,38.8873512,-78.4989013,MH,171,2,Shenandoah,Northwestern,1
Piedmont Community Services,51141,Patrick,36.627576,-80.193752,MH,141,1,Patrick,Piedmont,3
Carilion Saint Albans Hospital,51121,Montgomery,37.088554,-80.5055434,MH,121,3,Montgomery,New River Valley,3
Northwestern Community Services,51187,Warren,38.9105149,-78.203415,MH,187,1,Warren,Northwestern,1
New River Valley Community Services,51750,Radford City,37.1338269,-80.577643,MH,750,1,Radford,New River Valley,3
Colonial Behavioral Health,51830,James City,37.284581,-76.688007,SA,830,2,Williamsburg/James City County,Colonial Behavioral Health,5
Colonial Behavioral Health,51830,James City,37.284581,-76.688007,MH,830,2,Williamsburg/James City County,Colonial Behavioral Health,5
Western Tidewater CSB,51620,Franklin City,36.6783391,-76.9220446,MH,620,1,Franklin City,Western Tidewater,5
Middle Peninsula Northern Neck CSB,51159,Richmond,37.963875,-76.7549554,MH,159,1,Richmond County,Middle Peninsula-Northern Neck,5
Life Enrichment Counseling Center Inc,51153,Prince William,38.8034292,-77.603727,SA,153,3,Prince William,Prince William,2
Lifeworks Outreach Services,51153,Prince William,38.67347,-77.338757,MH,153,3,Prince William,Prince William,2
Washington Behavioral Health,51153,NA,38.635246,-77.274659,SA,153,3,Prince William,Prince William,2
New River Valley Community Services,51071,Giles,37.327443,-80.7318141,MH,71,1,Giles,New River Valley,3
Middle Peninsula Northern Neck CSB,51073,Gloucester,37.433614,-76.569274,MH,73,1,Gloucester,Middle Peninsula-Northern Neck,5
Newport News Behavioral Health Center,51700,Newport News City,37.2045825,-76.583318,MH,700,4,Newport News,Hampton-Newport News,5
Western Tidewater Mental Health Center,51093,Isle of Wight,36.965768,-76.606304,MH,93,1,Isle Of Wight,Western Tidewater,5
Discovery Mood and Anxiety Program,51059,Fairfax,38.7725064,-77.3054733,MH,59,14,Fairfax County,Fairfax-Falls Church,2
UMFS,51059,Fairfax,38.8431373,-77.4149267,MH,59,14,Fairfax County,Fairfax-Falls Church,2
Center for Discovery,51059,Fairfax,38.8371168,-77.3870348,MH,59,14,Fairfax County,Fairfax-Falls Church,2
Dominion Choices Adol PHP/IOP,51059,Fairfax,38.8875501,-77.4488631,MH,59,14,Fairfax County,Fairfax-Falls Church,2
New River Valley Community Services,51155,Pulaski,37.0494794,-80.7802969,MH,155,1,Pulaski,New River Valley,3
Family Preservation Services,51069,Frederick,39.1394973,-78.190152,MH,69,2,Frederick,Northwestern,1
Inova Kellar Center,51059,Fairfax,38.8588219,-77.3323527,MH,59,14,Fairfax County,Fairfax-Falls Church,2
